OID_;ORIG_FID;FID_ne_50m_coastline_Tes_SymDiff_Buffer_30KM;FID_ne_50m_coastline_Test_Clip_Buffer30km;FID_ne_50m_coastli_Testmap_ToPoly;Australia_elevation
1;1;1;-1;4;433
2;1;1;-1;4;125
3;1;1;-1;4;474
4;1;1;-1;4;740
5;1;1;-1;4;480
6;1;1;-1;4;309
7;1;1;-1;4;105
8;1;1;-1;4;266
9;1;1;-1;4;63
10;1;1;-1;4;67
11;1;1;-1;4;197
12;1;1;-1;4;269
13;1;1;-1;4;137
14;1;1;-1;4;455
15;1;1;-1;4;371
16;1;1;-1;4;199
17;1;1;-1;4;186
18;1;1;-1;4;611
19;1;1;-1;4;427
20;1;1;-1;4;842
21;1;1;-1;4;363
22;1;1;-1;4;650
23;1;1;-1;4;466
24;1;1;-1;4;721
25;1;1;-1;4;288
26;1;1;-1;4;231
27;1;1;-1;4;891
28;1;1;-1;4;828
29;1;1;-1;4;714
30;1;1;-1;4;524
31;1;1;-1;4;874
32;1;1;-1;4;197
33;1;1;-1;4;117
34;1;1;-1;4;254
35;1;1;-1;4;109
36;1;1;-1;4;351
37;1;1;-1;4;659
38;1;1;-1;4;676
39;1;1;-1;4;482
40;1;1;-1;4;654
41;1;1;-1;4;702
42;1;1;-1;4;603
43;1;1;-1;4;655
44;1;1;-1;4;438
45;1;1;-1;4;403
46;1;1;-1;4;270
47;1;1;-1;4;502
48;1;1;-1;4;376
49;1;1;-1;4;351
50;1;1;-1;4;309
51;1;1;-1;4;294
52;1;1;-1;4;388
53;1;1;-1;4;516
54;1;1;-1;4;314
55;1;1;-1;4;311
56;1;1;-1;4;397
57;1;1;-1;4;265
58;1;1;-1;4;213
59;1;1;-1;4;392
60;1;1;-1;4;404
61;1;1;-1;4;277
62;1;1;-1;4;249
63;1;1;-1;4;260
64;1;1;-1;4;117
65;1;1;-1;4;287
66;1;1;-1;4;423
67;1;1;-1;4;135
68;1;1;-1;4;12
69;1;1;-1;4;471
70;1;1;-1;4;330
71;1;1;-1;4;670
72;1;1;-1;4;700
73;1;1;-1;4;532
74;1;1;-1;4;645
75;1;1;-1;4;264
76;1;1;-1;4;392
77;1;1;-1;4;447
78;1;1;-1;4;815
79;1;1;-1;4;127
80;1;1;-1;4;796
81;1;1;-1;4;472
82;1;1;-1;4;501
83;1;1;-1;4;449
84;1;1;-1;4;285
85;1;1;-1;4;365
86;1;1;-1;4;410
87;1;1;-1;4;245
88;1;1;-1;4;454
89;1;1;-1;4;296
90;1;1;-1;4;279
91;1;1;-1;4;309
92;1;1;-1;4;688
93;1;1;-1;4;697
