OID_;ORIG_FID;FID_ne_50m_coastline_Tes_SymDiff_Buffer_20KM;FID_ne_50m_coastline_Test_Clip_Buffer20km;FID_ne_50m_coastli_Testmap_ToPoly;Australia_elevation
239;4;4;-1;38;51
240;4;4;-1;38;75
241;4;4;-1;38;114
242;4;4;-1;38;217
243;4;4;-1;38;205
244;4;4;-1;38;176
245;4;4;-1;38;174
246;4;4;-1;38;86
247;4;4;-1;38;78
248;4;4;-1;38;99
249;4;4;-1;38;127
250;4;4;-1;38;162
251;4;4;-1;38;155
252;4;4;-1;38;124
253;4;4;-1;38;135
254;4;4;-1;38;66
255;4;4;-1;38;44
256;4;4;-1;38;137
257;4;4;-1;38;137
258;4;4;-1;38;138
259;4;4;-1;38;140
260;4;4;-1;38;356
261;4;4;-1;38;460
262;4;4;-1;38;347
263;4;4;-1;38;323
264;4;4;-1;38;161
265;4;4;-1;38;200
266;4;4;-1;38;118
267;4;4;-1;38;63
268;4;4;-1;38;42
269;4;4;-1;38;42
270;4;4;-1;38;38
271;4;4;-1;38;53
272;4;4;-1;38;33
273;4;4;-1;38;36
274;4;4;-1;38;41
275;4;4;-1;38;31
276;4;4;-1;38;40
277;4;4;-1;38;86
278;4;4;-1;38;64
279;4;4;-1;38;47
280;4;4;-1;38;64
281;4;4;-1;38;36
282;4;4;-1;38;25
283;4;4;-1;38;22
284;4;4;-1;38;18
285;4;4;-1;38;17
286;4;4;-1;38;10
287;4;4;-1;38;12
288;4;4;-1;38;10
289;4;4;-1;38;8
290;4;4;-1;38;7
291;4;4;-1;38;5
292;4;4;-1;38;5
293;4;4;-1;38;2
294;4;4;-1;38;7
295;4;4;-1;38;4
296;4;4;-1;38;6
297;4;4;-1;38;8
298;4;4;-1;38;16
299;4;4;-1;38;18
300;4;4;-1;38;21
301;4;4;-1;38;32
302;4;4;-1;38;22
303;4;4;-1;38;19
304;4;4;-1;38;21
305;4;4;-1;38;87
306;4;4;-1;38;91
307;4;4;-1;38;83
308;4;4;-1;38;90
309;4;4;-1;38;96
310;4;4;-1;38;88
311;4;4;-1;38;70
312;4;4;-1;38;60
313;4;4;-1;38;66
314;4;4;-1;38;75
315;4;4;-1;38;87
316;4;4;-1;38;97
317;4;4;-1;38;62
318;4;4;-1;38;61
