OID_;id;id_cs;ate_avg;ate_min;ate_max;ate_stdev;GlobSedv2_Clip_ProjectRaster
2447;24222;121385;-170,469999999999999;-74,500000000000000;-236,099999999999994;69,370000000000005;
2448;24223;121386;-100,099999999999994;-4,100000000000000;-255,699999999999989;81,969999999999999;
2449;24224;121387;-122,129999999999995;-50,799999999999997;-227,699999999999989;60,170000000000002;1300,3403320
2450;24225;121388;-90,519999999999996;-8,199999999999999;-233,400000000000006;72,790000000000006;
2451;24226;121389;-35,850000000000001;-2,800000000000000;-89,000000000000000;37,500000000000000;
2452;24227;121390;-48,479999999999997;-43,700000000000003;-51,100000000000001;2,710000000000000;
2453;24228;121393;-18,699999999999999;-11,800000000000001;-25,600000000000001;6,900000000000000;
2454;24229;121395;-18,800000000000001;-12,500000000000000;-25,100000000000001;6,300000000000000;
2455;24230;121396;-246,819999999999993;-18,500000000000000;-596,200000000000045;175,479999999999990;
2456;24231;121399;-133,810000000000002;-2,700000000000000;-494,000000000000000;160,960000000000008;
2457;24232;121415;-53,859999999999999;-24,699999999999999;-109,299999999999997;29,629999999999999;
2458;24233;121418;-43,030000000000001;-16,899999999999999;-65,000000000000000;17,140000000000001;
2459;24234;121419;-49,899999999999999;-24,000000000000000;-90,900000000000006;29,320000000000000;
2460;24235;121429;-145,580000000000013;-11,000000000000000;-339,800000000000011;109,659999999999997;
2461;24236;121433;-53,850000000000001;-23,699999999999999;-93,200000000000003;22,230000000000000;
2462;24237;121441;-160,810000000000002;-86,000000000000000;-300,300000000000011;75,260000000000005;
2463;24238;121447;-38,700000000000003;-0,200000000000000;-107,799999999999997;37,750000000000000;
2464;24239;121449;-144,090000000000003;-19,000000000000000;-228,599999999999994;74,019999999999996;
2465;24240;121451;-36,340000000000003;47,100000000000001;-183,300000000000011;75,280000000000001;
2466;24241;121452;-80,709999999999994;15,199999999999999;-245,099999999999994;78,670000000000002;
2467;24242;121456;-50,329999999999998;3,900000000000000;-123,099999999999994;43,219999999999999;
