OID_;ORIG_FID;FID_ne_50m_coastline_Tes_SymDiff_Buffer_10KM;FID_ne_50m_coastline_Test_Clip_Bufffer10km;FID_ne_50m_coastli_Testmap_ToPoly;Australia_elevation
239;4;3;-1;9;53
240;4;3;-1;9;52
241;4;3;-1;9;17
242;4;3;-1;9;47
243;4;3;-1;9;42
244;4;3;-1;9;49
245;4;3;-1;9;94
246;15;10;-1;38;321
247;15;10;-1;38;305
248;15;10;-1;38;497
249;15;10;-1;38;478
250;15;10;-1;38;530
251;15;10;-1;38;491
252;15;10;-1;38;581
253;15;10;-1;38;532
254;15;10;-1;38;282
255;15;10;-1;38;266
256;15;10;-1;38;404
257;15;10;-1;38;320
258;15;10;-1;38;194
259;15;10;-1;38;329
260;15;10;-1;38;327
261;15;10;-1;38;169
262;15;10;-1;38;15
263;15;10;-1;38;106
264;15;10;-1;38;210
265;15;10;-1;38;83
266;15;10;-1;38;95
267;15;10;-1;38;81
268;15;10;-1;38;133
269;15;10;-1;38;123
270;15;10;-1;38;87
271;15;10;-1;38;39
272;15;10;-1;38;76
273;15;10;-1;38;68
274;15;10;-1;38;53
275;15;10;-1;38;27
276;15;10;-1;38;89
277;15;10;-1;38;63
278;15;10;-1;38;81
279;15;10;-1;38;63
280;15;10;-1;38;44
281;15;10;-1;38;24
282;15;10;-1;38;29
283;15;10;-1;38;62
284;15;10;-1;38;68
285;15;10;-1;38;194
286;15;10;-1;38;123
287;15;10;-1;38;122
288;15;10;-1;38;29
289;15;10;-1;38;40
290;15;10;-1;38;33
291;15;10;-1;38;44
292;15;10;-1;38;26
293;15;10;-1;38;12
294;15;10;-1;38;11
295;15;10;-1;38;14
296;15;10;-1;38;13
297;15;10;-1;38;14
298;15;10;-1;38;100
299;15;10;-1;38;265
300;15;10;-1;38;156
301;15;10;-1;38;180
302;15;10;-1;38;111
303;15;10;-1;38;149
304;15;10;-1;38;134
305;15;10;-1;38;115
306;15;10;-1;38;207
307;15;10;-1;38;101
308;15;10;-1;38;124
309;15;10;-1;38;100
310;15;10;-1;38;65
311;15;10;-1;38;25
312;15;10;-1;38;11
313;3;2;-1;8;166
314;3;2;-1;8;74
315;3;2;-1;8;52
316;3;2;-1;8;28
317;3;2;-1;8;20
318;3;2;-1;8;24
319;3;2;-1;8;21
320;3;2;-1;8;73
321;3;2;-1;8;12
322;3;2;-1;8;13
323;15;10;-1;38;37
324;15;10;-1;38;16
325;15;10;-1;38;17
326;15;10;-1;38;17
327;15;10;-1;38;19
328;15;10;-1;38;18
329;15;10;-1;38;18
330;15;10;-1;38;16
331;15;10;-1;38;16
332;15;10;-1;38;14
333;15;10;-1;38;25
334;15;10;-1;38;22
335;15;10;-1;38;14
336;15;10;-1;38;19
337;15;10;-1;38;10
338;15;10;-1;38;12
339;15;10;-1;38;14
340;15;10;-1;38;17
341;15;10;-1;38;10
342;15;10;-1;38;9
343;15;10;-1;38;12
344;15;10;-1;38;6
345;15;10;-1;38;22
346;15;10;-1;38;8
347;15;10;-1;38;33
348;15;10;-1;38;9
349;15;10;-1;38;16
350;15;10;-1;38;11
351;15;10;-1;38;16
352;15;10;-1;38;5
353;15;10;-1;38;5
354;15;10;-1;38;5
355;15;10;-1;38;8
356;15;10;-1;38;13
357;15;10;-1;38;12
358;15;10;-1;38;42
359;15;10;-1;38;69
360;15;10;-1;38;80
361;15;10;-1;38;59
362;15;10;-1;38;40
363;15;10;-1;38;28
364;15;10;-1;38;33
365;15;10;-1;38;39
366;15;10;-1;38;33
367;15;10;-1;38;45
368;15;10;-1;38;55
369;15;10;-1;38;53
370;15;10;-1;38;53
371;15;10;-1;38;44
372;15;10;-1;38;38
373;15;10;-1;38;15
374;15;10;-1;38;18
375;15;10;-1;38;87
376;15;10;-1;38;17
377;15;10;-1;38;46
378;15;10;-1;38;44
379;15;10;-1;38;52
380;15;10;-1;38;90
381;15;10;-1;38;85
382;15;10;-1;38;116
383;15;10;-1;38;152
384;15;10;-1;38;113
385;15;10;-1;38;44
386;15;10;-1;38;32
387;15;10;-1;38;15
388;15;10;-1;38;1
389;15;10;-1;38;20
390;15;10;-1;38;20
391;15;10;-1;38;37
392;15;10;-1;38;43
393;15;10;-1;38;24
394;15;10;-1;38;25
395;15;10;-1;38;72
396;15;10;-1;38;110
397;15;10;-1;38;142
398;15;10;-1;38;122
399;15;10;-1;38;314
400;15;10;-1;38;44
401;15;10;-1;38;38
402;15;10;-1;38;55
403;15;10;-1;38;56
404;15;10;-1;38;66
405;15;10;-1;38;128
406;15;10;-1;38;24
407;15;10;-1;38;19
408;15;10;-1;38;12
409;15;10;-1;38;12
410;15;10;-1;38;6
411;15;10;-1;38;6
412;15;10;-1;38;12
413;15;10;-1;38;31
414;15;10;-1;38;61
415;15;10;-1;38;84
